From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg)
24-Mar-2022 - 14:00,24-Mar-2022 - 14:15,29.0,195.0,4.0,38.1,23.6,29.5,11.2,0.3,86.6,1.8,17.6,,33.0,2.5,182.7,519.2,980.2
24-Mar-2022 - 14:15,24-Mar-2022 - 14:30,29.0,195.0,5.0,36.0,23.2,28.5,10.8,0.2,84.2,1.7,16.8,,32.3,2.0,170.6,485.5,980.0
24-Mar-2022 - 14:30,24-Mar-2022 - 14:45,29.0,195.0,3.9,32.4,20.4,27.9,10.0,0.2,81.7,1.7,15.9,,32.1,1.7,180.0,440.1,979.7
24-Mar-2022 - 14:45,24-Mar-2022 - 15:00,31.0,191.0,4.1,38.9,24.1,27.4,9.2,0.2,76.2,1.5,13.4,,31.7,1.9,180.9,431.3,979.5
24-Mar-2022 - 15:00,24-Mar-2022 - 15:15,31.0,191.0,5.6,41.5,26.5,27.0,9.5,0.2,70.6,1.6,14.8,,31.7,0.9,176.8,395.1,979.3
24-Mar-2022 - 15:15,24-Mar-2022 - 15:30,31.0,191.0,3.9,37.0,22.9,27.1,9.2,0.1,79.3,1.7,17.9,,32.2,2.3,182.2,320.2,979.1
24-Mar-2022 - 15:30,24-Mar-2022 - 15:45,31.0,191.0,2.1,36.8,21.5,26.8,9.6,0.1,86.9,1.5,17.2,,33.3,2.0,178.3,135.1,978.9
