From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg)
23-Mar-2022 - 22:00,23-Mar-2022 - 22:15,130.0,586.0,,136.5,,24.7,21.2,5.9,4.0,12.9,168.8,,48.0,0.7,125.3,4.1,981.6
23-Mar-2022 - 22:15,23-Mar-2022 - 22:30,130.0,586.0,,114.7,,28.6,21.3,6.3,3.9,12.3,166.0,,49.6,0.7,125.4,4.2,981.6
23-Mar-2022 - 22:30,23-Mar-2022 - 22:45,130.0,586.0,467.1,111.7,439.2,20.0,20.7,5.6,3.1,12.2,168.5,,48.6,0.7,120.3,4.2,981.6
23-Mar-2022 - 22:45,23-Mar-2022 - 23:00,157.0,641.0,371.0,116.9,365.0,33.2,18.4,5.1,4.1,12.9,171.9,,48.0,1.0,116.5,4.2,981.7
23-Mar-2022 - 23:00,23-Mar-2022 - 23:15,157.0,641.0,292.6,103.1,293.4,26.7,16.7,4.2,4.7,13.3,168.7,,47.8,0.5,116.1,4.2,981.7
23-Mar-2022 - 23:15,23-Mar-2022 - 23:30,157.0,641.0,223.9,97.9,234.6,30.2,16.7,3.3,4.7,12.3,157.0,,48.0,0.5,112.8,4.1,981.7
23-Mar-2022 - 23:30,23-Mar-2022 - 23:45,157.0,641.0,207.6,98.2,221.3,30.9,16.0,2.9,4.9,10.6,139.9,,48.9,0.4,111.6,4.2,981.7
