PlaceName,latitude,longitude
Tāj Mahal Taj Mahal Tac Mahal Tadz Mahal Tadz Makhal Tadzh Makhal Tadzh-Makhal Tadzmahalas Tadzs Mahal Tadź Mahal Tadž Mahal Tadžmahalas Tag-Mahalo Taj Mahal Taĝ-Mahalo Tádzs Mahal Tádž Mahal Tāj Mahal tai ji ling tai ji ma ha taj mahal taj makal taj mhl taj-mahali tajamahala tajimahal thach ma hal tʼg mhʼl Тадж Махал Тадж-Махал Таџ Махал טאג מהאל تاج محل تاج‌محل ތާޖް މަޙަލް ताजमहल তাজমহল தாஜ் மகால் ತಾಜ್ ಮಹಲ್ ทัชมาฮาล თაჯ-მაჰალი タージ・マハル タージ・マハール 泰姬瑪哈 泰姬陵 타지마할,27.17502,78.04207
Tājganj Tajganj ,27.16069,78.04816
Suroth Suroth Suroth,26.80984,77.14696
Sorkhi Sorkhi Sorkhi Surkhi,29.05185,76.11909
Surjannagar Surjannagar Surjanagar Surjannagar,29.23353,78.7063
Surīr Surir Surir Surīr,27.77158,77.7211
Suratpura Suratpura SURP Suratpura Suratpura Railroad Station,28.66177,75.40838
Sūrtiya Surtiya Suratiya Surtiya Sūrtiya,29.80497,75.18798
Surajpur Surajpur ,30.7876,76.89987
Sūrajpur Surajpur Surajpur Sūrajpur,28.51135,77.48017
Sūrajgarh Surajgarh Surajgarh Sūrajgarh,28.31005,75.73271
Sungarpur Sungarpur ,28.75186,75.8672
Sunām Sunam Sunam Sunām,30.12883,75.79943
Sumera Daryāpur Sumera Daryapur Sumera Sumera Daryapur Sumera Daryāpur,28.0342,78.09459
Sultānpur Sultanpur Adampur Sultanpur Sultānpur Ādampur,29.75534,78.11034
Sultānpur Sultanpur ,29.03474,75.86923
Sultānganj Sultanganj ,27.3152,79.09699
Sultāna Sultana Sultana Sultāna Sultānā,28.12936,75.61484
Sujra Sujra SUJR Sujra,29.0153,77.26173
Sūchān Kotli Suchan Kotli SHN Suchan Kotli Sūchān Kotli,29.51257,75.18237
Subāna Subana Subana Subanah Subāna Sūbāna Sūbānāh,28.46732,76.56976
Suār Suar Suar Suār Суар,29.02841,79.05654
Suāhya Suahya ,29.33333,76.45916
Srīnagar Srinagar Shrinagar Srinagar Srinagar Garhwal Srīnagar Шринагар,30.22243,78.78341
Sri Mādhopur Sri Madhopur Sri Madhopur Sri Mādhopur,27.46599,75.59736
Southern Ghaggar Canal Southern Ghaggar Canal ,29.48766,74.8962
Sota River Sota River Sota Sota River,27.85471,76.36076
Soron Soron Soron Сорон,27.89055,78.74621
Sonīpat Sonipat Sonepat Sonepat Punjab Sonipat Sonīpat,28.99478,77.01937
Sonīpat Sonipat SNP Sonepat Sonipat Sonīpat,29,76.91667
Song River Song River Song Song River,30.0349,78.24921
Sone ka Gurja Sone ka Gurja ,26.49165,77.56119
Sona Arjunpur Sona Arjunpur ,29.75323,77.45834
Somsīsar Somsisar Somsisar Somsīsar,28.776,74.74774
Somna Somna ,28.0573,77.94059
Somāsi Somasi Somasi Somāsi,28.41004,74.89355
Solāni River Solani River Solani Solani River Solāni Solāni River,29.51538,77.98837
Sohūwāla Chak Rohi Sohuwala Chak Rohi ,29.65,74.96667
Sohna Sohna Sohna,28.24737,77.06544
Sohānsra Sohansra SAWN Sohansra Sohānsra,28.40801,75.86105
Sohāna Sohana Sohana Sohāna,30.68871,76.70659
Sohān Sohan ,26.72022,77.68584
Sīyūn Siyun ,30.69292,77.3739
Siyāna Siyana Siyana Siyāna,28.62717,78.06062
Siwāna Māl Siwana Mal ,29.25729,76.58378
Sīwan Siwan ,29.88699,76.35462
Sitā Bani Sita Bani ,29.4,79.21667
Sīswāl Siswal Siswal Sīswāl,29.21293,75.50802
